@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_GY_X numeric
@attribute F5_MEAN_on_GY_Y numeric
@attribute F6_MEAN_on_GY_Z numeric
@attribute F7_ZeroCross_on_ACC_X numeric
@attribute F8_ZeroCross_on_ACC_Y numeric
@attribute F9_ZeroCross_on_ACC_Z numeric
@attribute F10_PositiveZeroCross_on_ACC_X numeric
@attribute F11_PositiveZeroCross_on_ACC_X numeric
@attribute F12_PositiveZeroCross_on_ACC_Y numeric
@attribute F13_PositiveZeroCross_on_ACC_Y numeric
@attribute F14_PositiveZeroCross_on_ACC_Z numeric
@attribute F15_PositiveZeroCross_on_ACC_Z numeric
@attribute F16_PositiveZeroCross_on_GY_X numeric
@attribute F17_PositiveZeroCross_on_GY_Y numeric
@attribute F18_PositiveZeroCross_on_GY_Z numeric
@attribute F19_NegativeZeroCross_on_ACC_X numeric
@attribute F20_NegativeZeroCross_on_ACC_X numeric
@attribute F21_NegativeZeroCross_on_ACC_Y numeric
@attribute F22_NegativeZeroCross_on_ACC_Y numeric
@attribute F23_NegativeZeroCross_on_ACC_Z numeric
@attribute F24_NegativeZeroCross_on_ACC_Z numeric
@attribute F25_NegativeZeroCross_on_GY_X numeric
@attribute F26_NegativeZeroCross_on_GY_Y numeric
@attribute F27_NegativeZeroCross_on_GY_Z numeric
@attribute class {down, left, up, stand}

@data
-0.150757, 0.385742, -0.919434, -0.260742, -0.168457, 0.044281, 2, 8, 6, 6, 1, 4, 4, 4, 3, 4, 4, 6, 6, 1, 4, 4, 4, 3, 4, 4, 6, up
-0.133545, 0.244751, -0.850098, 0.0178528, -0.237427, 0.237183, 6, 6, 6, 6, 3, 8, 3, 4, 3, 4, 4, 8, 4, 3, 8, 3, 4, 3, 4, 4, 8, up
-0.248413, 0.31543, -0.932129, 0.0334778, -0.284668, 0.0120392, 8, 8, 6, 4, 4, 4, 4, 4, 3, 4, 4, 6, 6, 4, 4, 4, 4, 3, 4, 4, 6, up
-0.171875, 0.319824, -0.918457, -0.161987, -0.142578, -0.0367432, 4, 6, 6, 8, 2, 4, 3, 4, 3, 4, 4, 6, 8, 2, 4, 3, 4, 3, 4, 4, 6, up
-0.166992, 0.434814, -0.84082, -0.112854, 0.0648804, 0.163208, 6, 10, 6, 8, 3, 4, 5, 6, 3, 4, 4, 6, 6, 3, 4, 5, 6, 3, 4, 4, 6, up
-0.108215, 0.402832, -0.82959, -0.195923, 0.00698853, 0.124634, 6, 8, 6, 6, 3, 4, 4, 6, 3, 4, 4, 8, 6, 3, 4, 4, 6, 3, 4, 4, 8, up
-0.0737915, 0.390137, -0.805176, 0.159058, -0.193481, 0.090332, 2, 2, 6, 4, 1, 6, 1, 4, 3, 4, 4, 6, 4, 1, 6, 1, 4, 3, 4, 4, 6, up
-0.164307, 0.22583, -0.902832, 0.672363, 0.128784, 0.26001, 4, 8, 8, 8, 2, 4, 4, 4, 4, 2, 4, 6, 8, 2, 4, 4, 4, 4, 2, 4, 4, up
-0.233398, 0.25708, -0.850586, -0.0563049, -0.362305, 0.0859985, 4, 8, 6, 6, 2, 4, 4, 2, 3, 2, 4, 6, 8, 2, 4, 4, 4, 3, 2, 4, 4, up
0.728516, 0.0108643, -0.0467834, 0, 0, 0, 41, 53, 65, 20, 20, 30, 27, 32, 32, 0, 0, 0, 22, 21, 28, 26, 32, 33, 0, 0, 0, stand
0.458008, -0.134644, -0.124634, 0, 0, 0, 42, 70, 62, 22, 22, 36, 35, 32, 31, 0, 0, 0, 20, 20, 36, 35, 32, 31, 0, 0, 0, stand
-0.503418, -0.956055, 0.408691, 0, 0, 0, 51, 64, 76, 26, 25, 30, 31, 42, 39, 0, 0, 0, 28, 26, 32, 33, 40, 37, 0, 0, 0, stand
-0.500488, 0.168579, -0.23584, 0, 0, 0, 61, 50, 77, 32, 31, 28, 26, 38, 38, 0, 0, 0, 32, 30, 26, 24, 40, 39, 0, 0, 0, stand
